Comparison	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WAP vs mock	hsa04622	RIG-I-like receptor signaling pathway	18/598	70/8146	1.85738148103248E-06	2.92191720459592E-05	2.26683255448829E-05	3593/7124/3627/3576/3592/9636/3665/3456/4792/64135/79132/7706/3439/5600/4790/1540/23586/8717	18
WAP vs mock	hsa05140	Leishmaniasis	19/598	77/8146	1.89734883415319E-06	2.92191720459592E-05	2.26683255448829E-05	3593/3553/7124/1379/5743/3592/3458/65108/653361/3552/4792/3112/3717/5600/4790/3586/7043/2353/3111	19
WAP vs mock	hsa04658	Th1 and Th2 cell differentiation	21/598	92/8146	2.16135478118536E-06	3.1699870124052E-05	2.45928589137382E-05	3593/54567/3559/3592/6775/3458/4792/3112/864/3718/6776/182/3717/5600/4790/5533/2353/4094/30009/3111/4775	21
WAP vs mock	hsa04657	IL-17 signaling pathway	21/598	94/8146	3.12641744398254E-06	4.37698442157555E-05	3.39567827647864E-05	6364/3569/1440/1437/3553/7124/3627/5743/4312/3576/2921/2919/3458/2920/27189/7128/4792/5600/4790/8717/2353	21
WAP vs mock	hsa05142	Chagas disease	22/598	102/8146	3.39795537157096E-06	4.55030545410373E-05	3.53014127847418E-05	3593/3569/6352/3553/7124/3576/3592/6349/3458/624/6348/5054/3456/4792/355/5600/4790/3586/8837/7043/5332/2353	22
WAP vs mock	hsa05145	Toxoplasmosis	23/598	112/8146	4.94454254302505E-06	6.34549626354882E-05	4.92285595292407E-05	3593/7124/3592/3458/8651/3310/958/4792/3112/330/3911/3912/3717/5600/4790/3586/3303/7043/5608/23533/3111/3312/5294	23
WAP vs mock	hsa04062	Chemokine signaling pathway	32/598	192/8146	8.72587294902333E-06	0.000107502754732	8.3400975133823E-05	6364/6352/4283/6346/1236/3627/6373/9560/6359/6351/3576/2833/6349/2921/2919/2920/6348/653361/4792/1233/3718/111/10235/3717/4790/6368/6355/55970/23533/5332/7852/5294	32
WAP vs mock	hsa05167	Kaposi sarcoma-associated herpesvirus infection	32/598	194/8146	1.08844251462201E-05	0.000128938574809	0.000100030951749	3569/1437/5743/3576/2921/2919/2920/3665/84557/3456/4792/5155/83439/1233/355/51176/285/3439/3717/5600/4790/3383/5610/55970/5608/8717/23533/5533/2353/131450/4775/5294	32
WAP vs mock	hsa05146	Amoebiasis	21/598	102/8146	1.21991468585784E-05	0.000139160638239	0.000107961260698	3593/3569/1437/3553/7124/3576/3592/2921/5273/5272/2919/3458/2920/3911/3912/4790/3586/7043/5332/929/2335	21
WAP vs mock	hsa04630	JAK-STAT signaling pathway	28/598	162/8146	1.58893275090466E-05	0.0001747826026	0.000135596892652	3593/3569/1440/1437/3559/51561/64109/3601/3592/282618/6775/3458/8651/3600/9021/50604/3456/8835/3575/85480/5155/5618/3718/6776/3439/3717/3574/3586	28
WAP vs mock	hsa04978	Mineral absorption	15/598	60/8146	1.93785282015234E-05	0.000205813334002	0.000159670631642	4499/4489/6547/6543/115019/4502/4496/4495/4501/4494/490/3162/113235/476/26872	15
WAP vs mock	hsa04640	Hematopoietic cell lineage	19/598	99/8146	8.68289356302338E-05	0.000891443739137	0.000691584855722	3569/1440/1437/3553/3559/7124/3672/1379/952/2322/947/924/3552/3575/3112/4254/3574/929/3111	19
WAP vs mock	hsa04659	Th17 cell differentiation	20/598	108/8146	9.6149546637695E-05	0.00095529226982	0.000741118746579	3569/3553/3559/51561/10148/246778/3662/3458/4792/3112/3718/6776/3717/5600/4790/5533/2353/30009/3111/4775	20
WAP vs mock	hsa04933	AGE-RAGE signaling pathway in diabetic complications	19/598	100/8146	0.00010001522161	0.000962646507996	0.00074682418768	3569/3553/7124/3576/3552/5054/177/6776/1906/3717/5600/4790/3383/2308/7043/5332/1958/7056/2335	19
WAP vs mock	hsa05169	Epstein-Barr virus infection	30/598	202/8146	0.000151742721723	0.001416265402752	0.001098743152511	3569/7124/3627/1647/9636/4616/3665/7128/958/3456/4792/3112/864/3280/355/3718/4939/4940/3439/4791/5600/4790/3383/23586/5610/4938/5608/8717/3111/9020	30
WAP vs mock	hsa04672	Intestinal immune network for IgA production	12/598	49/8146	0.000162566782807	0.001472663797188	0.001142497204244	3569/3601/941/3600/958/3112/10673/3586/57379/7852/3111/9020	12
WAP vs mock	hsa04940	Type I diabetes mellitus	11/598	43/8146	0.00020021111505	0.00176185781244	0.001366854830567	3593/3553/7124/3592/3458/941/3552/3112/4049/355/3111	11
WAP vs mock	hsa05152	Tuberculosis	27/598	180/8146	0.00027233408821	0.002329969421352	0.001807597603031	3593/3569/3553/7124/51561/1379/3592/3458/815/3552/26253/3456/3112/3656/3606/3439/3717/5600/4790/8767/3586/7043/8717/5533/64127/929/3111	27
WAP vs mock	hsa05330	Allograft rejection	10/598	38/8146	0.00030300561814	0.002522317037489	0.001956821488414	3593/7124/3592/3458/941/958/3112/355/3586/3111	10
WAP vs mock	hsa05202	Transcriptional misregulation in cancer	28/598	193/8146	0.000370985022508	0.003006931235064	0.002332786706628	3569/1437/51513/3576/2322/1647/7185/4616/5079/958/5327/330/64332/860/3479/5371/4790/8013/2308/597/9915/1050/4094/929/3087/3398/8864/1053	28
WAP vs mock	hsa05418	Fluid shear stress and atherosclerosis	22/598	139/8146	0.000464906859404	0.003671572120419	0.002848417195267	3553/7124/3458/857/5327/653361/3552/5155/387082/10365/6385/1906/5600/4790/3383/445/5608/1843/2353/3162/7056/59341	22
WAP vs mock	hsa04936	Alcoholic liver disease	22/598	142/8146	0.000627911081169	0.004834915325002	0.003750942511194	3593/3569/3553/7124/3576/3592/2921/2919/2920/3456/4792/83439/355/51176/3439/5600/4790/2308/5608/8717/929/9020	22
WAP vs mock	hsa05161	Hepatitis B	24/598	162/8146	0.000704325327627	0.005291029290463	0.004104797159723	3569/7124/3576/6775/3665/3456/353376/4792/9586/64135/355/3718/6776/3439/3717/5600/4790/23586/7043/5608/2353/1960/1959/4775	24
WAP vs mock	hsa05171	Coronavirus disease - COVID-19	31/598	232/8146	0.000784095040251	0.005750030295177	0.004460891582383	3593/3569/1440/1437/3553/7124/3627/4312/629/3576/3592/9636/3456/4792/64135/4599/716/715/4939/4940/3439/4600/5600/4790/115004/23586/5610/4938/834/2353/7450	31
WAP vs mock	hsa05221	Acute myeloid leukemia	13/598	67/8146	0.000998343013737	0.007150922051887	0.005547707811956	1437/2322/83439/11040/5371/51176/6776/4790/597/1050/929/8864/1053	13
WAP vs mock	hsa05166	Human T-cell leukemia virus 1 infection	29/598	222/8146	0.001634648705169	0.011442540936185	0.008877159236206	3569/1437/3559/7124/3601/3600/10744/958/4792/9586/2113/3112/4487/4049/3718/6776/111/9700/4791/4790/3383/7043/5533/2353/1958/1959/3111/4775/9020	29
WAP vs mock	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	15/598	89/8146	0.001905957415175	0.013045219641642	0.010120522415081	55509/3458/353376/4792/116071/10538/10125/3717/5600/4790/29126/5608/5533/2353/4775	15
WAP vs mock	hsa05160	Hepatitis C	22/598	157/8146	0.002401722167979	0.016081096255163	0.012475765037327	7124/3627/91543/3458/9021/3665/3434/3456/4792/4599/355/4939/4940/3439/4600/4790/23586/8837/5610/4938/8717/6041	22
WAP vs mock	hsa04217	Necroptosis	22/598	159/8146	0.002819815753404	0.018478792596776	0.014335905398045	3553/7124/81030/6775/3458/815/8743/7128/3552/3456/353376/330/355/3718/6776/3439/3717/1540/8837/5610/8717/834	22
WAP vs mock	hsa05332	Graft-versus-host disease	9/598	42/8146	0.002897844590472	0.01859450278886	0.014425673728884	3569/3553/7124/3458/941/3552/3112/355/3111	9
WAP vs mock	hsa04610	Complement and coagulation cascades	14/598	85/8146	0.003319352381601	0.020864500684347	0.016186745233585	5055/1379/629/624/5327/5054/710/716/715/2151/7056/5624/2/7450	14
WAP vs mock	hsa04210	Apoptosis	19/598	136/8146	0.004773965234737	0.029407625845982	0.022814528595482	7124/5366/1647/7185/8743/4616/4792/330/355/27113/51807/4790/8837/8717/597/840/2353/5783/9020	19
WAP vs mock	hsa04380	Osteoclast differentiation	18/598	128/8146	0.005537392392611	0.033265923961636	0.02580780840496	3553/7124/3458/8651/9021/653361/3552/3456/4792/4791/5600/4790/1540/5608/5533/2353/23547/9020	18
WAP vs mock	hsa05217	Basal cell carcinoma	11/598	63/8146	0.005616324824692	0.033265923961636	0.02580780840496	7474/1647/4616/650/83439/81029/51176/8322/6608/8326/8321	11
WAP vs mock	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	6/598	24/8146	0.006551801758938	0.038074621542507	0.029538411107823	9953/2135/2131/9957/9956/9394	6
WAP vs mock	hsa03440	Homologous recombination	8/598	41/8146	0.008836469659838	0.050400604726483	0.039100947617606	29935/4683/675/50511/83990/6117/7516/641	8
WAP vs mock	hsa05130	Pathogenic Escherichia coli infection	24/598	197/8146	0.009477203568749	0.052424517772588	0.040671105722411	3569/3553/7124/3576/64005/8743/4629/4792/3606/355/5600/51807/4790/4430/4651/8717/840/834/55971/2353/57121/10458/4671/9632	24
WAP vs mock	hsa04020	Calcium signaling pathway	28/598	240/8146	0.009531730504107	0.052424517772588	0.040671105722411	952/255231/6547/2324/5021/135/815/624/6543/147/4916/1131/3706/5155/4486/57172/773/91807/136/490/5027/80228/5332/5533/1910/7852/9127/3082	28
WAP vs mock	hsa04330	Notch signaling pathway	10/598	59/8146	0.009999556602936	0.054032691819371	0.041918732204365	54567/23462/196403/3280/1840/182/151636/7091/5664/7090	10
WAP vs mock	hsa04151	PI3K-Akt signaling pathway	38/598	354/8146	0.010947876980628	0.057890965767058	0.044911993264259	3569/1440/3559/3672/2069/3696/2322/4602/2324/1942/1943/3456/9586/3575/5155/3479/54541/7057/3911/1946/8515/5618/29941/3718/3912/285/3439/3717/4254/4790/3574/55970/23533/57121/3082/5294/2335/7450	38
WAP vs mock	hsa05135	Yersinia infection	18/598	137/8146	0.011089503182651	0.057890965767058	0.044911993264259	3569/3553/7124/3576/4210/3456/4792/3606/5600/4790/3586/5608/834/2353/64283/4775/10458/2335	18
WAP vs mock	hsa04514	Cell adhesion molecules	19/598	149/8146	0.012523924546502	0.064289479338708	0.049875980211507	25945/3696/947/941/84628/958/3897/3112/6900/5792/6614/58494/5817/6385/4756/57555/3383/29126/3111	19
WAP vs mock	hsa05163	Human cytomegalovirus infection	26/598	225/8146	0.013706074026656	0.068485777578302	0.053131481579886	3569/6352/3553/7124/5743/9560/6351/3576/6349/6348/3456/4792/9586/355/111/3439/5600/4790/115004/55970/5608/8717/5332/5533/7852/4775	26
WAP vs mock	hsa04360	Axon guidance	22/598	182/8146	0.013786098083944	0.068485777578302	0.053131481579886	9423/54437/7474/1942/1943/815/8633/84628/54910/223117/3897/27289/57522/81029/1946/4756/91653/10507/6608/5533/7852/4775	22
WAP vs mock	hsa04115	p53 signaling pathway	11/598	73/8146	0.016735141960881	0.081816249586529	0.063473303677861	5366/1647/4616/5054/3479/7057/355/27113/83667/6477/3732	11
WAP vs mock	hsa04725	Cholinergic synapse	15/598	113/8146	0.017784587586784	0.085588327761396	0.066399693786182	43/815/1131/9586/3786/111/773/3717/1136/9132/55970/23533/5332/2353/5294	15
WAP vs mock	hsa01523	Antifolate resistance	6/598	30/8146	0.019880400841456	0.094202514756437	0.07308260714187	3569/3553/7124/4790/113235/6573	6
WAP vs mock	hsa04390	Hippo signaling pathway	19/598	157/8146	0.020891221543309	0.097492367202106	0.075634885013254	10413/7474/84962/5054/330/650/83439/81029/51176/286204/60485/27113/85407/8322/7043/8463/8326/3398/8321	19
WAP vs mock	hsa05224	Breast cancer	18/598	147/8146	0.021683277717331	0.099678351297583	0.077330778347749	54567/7474/2324/23462/1647/4616/3479/83439/3280/81029/51176/182/675/4791/8322/8326/2353/8321	18
deltaYopT vs mock	hsa04060	Cytokine-cytokine receptor interaction	68/544	295/8146	1.72593082336858E-20	5.07423662070362E-18	3.94238935443139E-18	3569/3593/6364/1440/1437/6352/3559/3553/6346/64109/10148/1236/246778/7124/3627/2833/4283/970/51561/3601/6373/3592/9560/3576/282618/8744/6359/6351/57007/2921/3600/2920/6349/2919/4804/8743/8809/27189/7293/3624/958/3552/23529/6348/3604/3575/133396/1233/5618/6355/3606/9235/355/85480/4049/10673/650/8784/7043/3574/6368/5008/643/8740/7852/51330/7850/943	68
deltaYopT vs mock	hsa04668	TNF signaling pathway	34/544	112/8146	1.74669307383646E-14	2.56763881853959E-12	1.99490735275006E-12	3569/6364/1437/6352/3553/7124/3627/5743/3659/2921/7185/3600/2920/9021/2919/8809/7128/1326/4792/330/90993/9586/355/4049/602/5600/3383/182/8717/8837/4790/5608/840/2353	34
deltaYopT vs mock	hsa04061	Viral protein interaction with cytokine and cytokine receptor	31/544	100/8146	1.36582285694931E-13	1.33850639981032E-11	1.03994231564211E-11	3569/6364/6352/3559/6346/1236/7124/3627/2833/4283/6373/9560/3576/6359/6351/57007/2921/2920/6349/2919/8743/8809/6348/1233/6355/3606/4049/6368/643/8740/7852	31
deltaYopT vs mock	hsa04064	NF-kappa B signaling pathway	31/544	104/8146	4.47744483862805E-13	3.29092195639162E-11	2.55685665784813E-11	3553/7124/5743/128178/9560/3576/6351/2921/7185/2920/1647/2919/4616/958/7128/4792/353376/330/4049/4791/3383/10673/23586/1540/7706/8717/8837/4790/598/8740/929	31
deltaYopT vs mock	hsa04621	NOD-like receptor signaling pathway	38/544	184/8146	2.29485886203377E-10	1.27387988736415E-08	9.89731240809238E-09	3569/6352/3553/7124/4210/115361/3576/9447/115362/388646/2921/2633/2920/2919/84557/3665/7128/4792/330/838/10135/3606/2634/2635/5600/4940/4939/6773/4790/3710/114769/4938/8767/598/10379/118429/4671/6041	38
deltaYopT vs mock	hsa05134	Legionellosis	20/544	57/8146	2.59975487217173E-10	1.27387988736415E-08	9.89731240809238E-09	3569/3593/3553/7124/1379/3592/3576/2921/2920/2919/4792/3310/3606/4791/3303/4790/840/4671/3312/929	20
deltaYopT vs mock	hsa05164	Influenza A	36/544	171/8146	3.9567818163197E-10	1.66184836285427E-08	1.29116038216748E-08	3569/3593/6352/3553/7124/3627/3592/3576/91543/9021/8743/3665/3552/4792/3112/64135/3606/5371/355/4599/3383/23586/4940/4939/3717/4600/7098/7706/8717/6773/4790/4938/5610/10379/3111/6041	36
deltaYopT vs mock	hsa05417	Lipid and atherosclerosis	41/544	215/8146	5.78764715146565E-10	2.12696032816363E-08	1.65252556824743E-08	3569/3593/6352/3553/7124/1543/4312/3592/3576/2921/2920/6349/2919/8743/653361/3665/958/1573/6348/4792/9619/353376/3310/6648/3606/355/5600/3383/177/3717/3303/5451/4790/5608/840/5533/598/2353/3312/929/4775	41
deltaYopT vs mock	hsa05162	Measles	31/544	139/8146	1.53155100836433E-09	5.00306662732348E-08	3.88709437210596E-08	3569/3593/3559/3553/3592/6504/3665/7128/3552/4792/3718/3310/64135/355/4599/6776/23586/4940/4939/27113/4600/8717/3303/6773/4790/4938/5610/598/10379/2353/3312	31
deltaYopT vs mock	hsa04620	Toll-like receptor signaling pathway	26/544	104/8146	2.5056379204914E-09	7.3665754862447E-08	5.72340451312245E-08	3569/3593/6352/3553/7124/3627/4283/6373/3592/9560/3576/6351/941/6349/3665/958/1326/6348/4792/353376/5600/7098/4790/5608/2353/929	26
deltaYopT vs mock	hsa05323	Rheumatoid arthritis	24/544	93/8146	5.23923770725611E-09	1.40030535084845E-07	1.08795653825318E-07	3569/6364/1437/6352/3553/7124/51561/4312/3576/2921/941/3600/2920/6349/2919/3552/6348/3112/3606/3383/10673/7043/2353/3111	24
deltaYopT vs mock	hsa04625	C-type lectin receptor signaling pathway	25/544	104/8146	1.21113894369834E-08	2.96729041206094E-07	2.30541360335562E-07	3569/3593/3553/7124/51561/5743/3592/3659/338339/4792/26253/51266/602/4791/5600/22800/1540/6773/4790/3710/5533/10379/1960/1959/4775	25
deltaYopT vs mock	hsa04010	MAPK signaling pathway	46/544	294/8146	3.73680829421848E-08	8.45093568077102E-07	6.56588987729077E-07	3553/7124/2069/2324/2322/1942/1943/1647/4804/4616/1326/3552/1946/3310/59283/10235/1850/1847/374/355/5155/9693/3479/4791/5600/9254/10125/7043/22800/8717/3303/4216/4790/773/5608/4254/5533/2353/55799/3312/3082/8491/929/4775/1848/4609	46
deltaYopT vs mock	hsa05133	Pertussis	19/544	76/8146	3.60846786470586E-07	7.5777825158823E-06	5.88750020030955E-06	3569/3593/3553/7124/51561/3592/3576/3659/3552/353376/716/710/715/5600/3394/4790/840/2353/929	19
deltaYopT vs mock	hsa04658	Th1 and Th2 cell differentiation	21/544	92/8146	4.60601417363795E-07	9.02778778033039E-06	7.01407070652236E-06	54567/3593/3559/3592/6775/4792/3112/3718/864/28514/5600/6776/182/3717/4790/4851/5533/2353/4094/4775/3111	21
deltaYopT vs mock	hsa04657	IL-17 signaling pathway	21/544	94/8146	6.75163578729351E-07	1.24061307591518E-05	9.6388484594914E-06	3569/6364/1440/1437/3553/7124/3627/5743/4312/3576/2921/2920/2919/27189/7128/4792/5600/8717/4790/9618/2353	21
deltaYopT vs mock	hsa05167	Kaposi sarcoma-associated herpesvirus infection	32/544	194/8146	1.46849395160661E-06	2.53963071630791E-05	1.97314667181817E-05	3569/1437/5743/3576/2921/2920/2919/84557/2786/3665/4792/83439/1233/51176/355/5155/5600/3383/3717/7098/8717/6773/4790/5608/3710/3134/5610/5533/10379/2353/4775/4609	32
deltaYopT vs mock	hsa04640	Hematopoietic cell lineage	21/544	99/8146	1.66806269521228E-06	2.72450240218006E-05	2.11678131497699E-05	3569/1440/1437/3559/3553/3672/7124/1379/952/2322/947/924/3552/3112/3575/2811/3574/4254/929/7850/3111	21
deltaYopT vs mock	hsa04630	JAK-STAT signaling pathway	28/544	162/8146	2.62037879049272E-06	4.05469139160452E-05	3.150261482199E-05	3569/3593/1440/1437/3559/64109/51561/3601/3592/282618/6775/3600/8651/9021/8835/3575/3718/5618/85480/5155/6776/3717/3574/6773/5008/598/10379/4609	28
deltaYopT vs mock	hsa04062	Chemokine signaling pathway	31/544	192/8146	3.41278030399048E-06	5.01678704686601E-05	3.89775434718913E-05	6364/6352/6346/1236/3627/2833/4283/6373/9560/3576/6359/6351/2921/2920/6349/2919/2786/653361/6348/4792/3718/111/10235/1233/6355/3717/6773/4790/6368/643/7852	31
deltaYopT vs mock	hsa05169	Epstein-Barr virus infection	32/544	202/8146	3.60724019562125E-06	5.05013627386976E-05	3.92366477418452E-05	3569/7124/3627/9636/1647/4616/3665/958/7128/4792/3112/3718/864/3280/355/4791/5600/3383/23586/4940/4939/8717/6773/4790/5608/10018/4938/3134/5610/10379/3111/4609	32
deltaYopT vs mock	hsa05202	Transcriptional misregulation in cancer	31/544	193/8146	3.8158065859648E-06	5.09930516488023E-05	3.96186616820269E-05	3569/1437/51513/2322/3576/7185/1647/4804/5327/4616/958/860/5079/64332/330/5371/3479/4790/8013/2308/598/4094/1050/9915/8864/929/7850/3398/1848/4609/1053	31
deltaYopT vs mock	hsa05140	Leishmaniasis	17/544	77/8146	9.263229209478E-06	0.000118408234243	9.19963724694154E-05	3593/3553/7124/1379/5743/3592/65108/653361/3552/4792/3112/5600/3717/7043/4790/2353/3111	17
deltaYopT vs mock	hsa04622	RIG-I-like receptor signaling pathway	16/544	70/8146	1.05964554705575E-05	0.000129806579514	0.000100852229698	3593/7124/3627/3592/3576/9636/3665/4792/64135/79132/5600/23586/1540/7706/8717/4790	16
deltaYopT vs mock	hsa04623	Cytosolic DNA-sensing pathway	15/544	63/8146	1.17816636290376E-05	0.000138552364277	0.000107647200316	3569/6352/3553/81030/3627/9560/9447/6351/3665/4792/3606/10623/23586/115004/4790	15
deltaYopT vs mock	hsa05144	Malaria	13/544	50/8146	1.62807095235135E-05	0.000184097253843	0.000143032954113	3569/1440/3553/7124/1379/3592/3576/958/7057/3606/3383/7043/3082	13
deltaYopT vs mock	hsa05321	Inflammatory bowel disease	15/544	65/8146	1.76600781595551E-05	0.000192298628848	0.000149404949732	3569/3593/3553/7124/51561/3592/6775/8809/3552/3112/3606/7043/4790/4094/3111	15
deltaYopT vs mock	hsa05143	African trypanosomiasis	11/544	37/8146	1.84427920382298E-05	0.000193649316401	0.000150454356101	3569/3593/3620/3553/169355/7124/3592/8542/3606/355/3383	11
deltaYopT vs mock	hsa05161	Hepatitis B	26/544	162/8146	2.34382157811714E-05	0.000237615015161	0.000184613169674	3569/7124/3576/6775/3665/4792/353376/90993/3718/9586/64135/355/5600/6776/23586/3717/7098/7043/6773/4790/5608/2353/1960/1959/4775/4609	26
deltaYopT vs mock	hsa05166	Human T-cell leukemia virus 1 infection	32/544	222/8146	2.65914737275646E-05	0.00026059644253	0.000202468413996	3569/1437/3559/7124/3601/3600/958/4792/3112/4487/90993/2113/3718/111/9586/4049/4791/9700/3383/6776/7043/4790/3134/5533/598/2353/1958/1959/7850/4775/3111/4609	32
deltaYopT vs mock	hsa04978	Mineral absorption	14/544	60/8146	2.93982161607134E-05	0.00027880888875	0.000216618434868	4499/4489/6547/115019/4495/4502/4496/4494/4493/4501/113235/3162/26872/476	14
deltaYopT vs mock	hsa05146	Amoebiasis	19/544	102/8146	3.68065255780316E-05	0.000338159953748	0.000262730791133	3569/3593/1437/3553/7124/3592/3576/5273/2921/5272/2920/2919/3911/3912/7043/4790/929/7850/2335	19
deltaYopT vs mock	hsa05145	Toxoplasmosis	20/544	112/8146	4.35955740230024E-05	0.000388396932205	0.000301762027528	3593/7124/3592/8651/958/4792/3112/330/3911/3310/3912/5600/3717/7043/3303/4790/5608/598/3312/3111	20
deltaYopT vs mock	hsa04940	Type I diabetes mellitus	11/544	43/8146	8.59320506114049E-05	0.000743059496463	0.000577314395748	3593/3553/7124/3592/941/3552/3112/355/4049/3134/3111	11
deltaYopT vs mock	hsa05221	Acute myeloid leukemia	14/544	67/8146	0.000107456105293	0.000902631284464	0.000701292476651	1437/2322/11040/83439/5371/51176/6776/4790/1050/8864/929/1848/4609/1053	14
deltaYopT vs mock	hsa05142	Chagas disease	18/544	102/8146	0.000122116075007	0.000997281279221	0.000774830066563	3569/3593/6352/3553/7124/3592/3576/624/6349/5054/6348/4792/355/5600/7043/8837/4790/2353	18
deltaYopT vs mock	hsa04659	Th17 cell differentiation	18/544	108/8146	0.000257888318247	0.00204916663688	0.001592084354468	3569/3559/3553/10148/246778/51561/3662/4792/3112/3718/5600/6776/3717/4790/5533/2353/4775/3111	18
deltaYopT vs mock	hsa05160	Hepatitis C	23/544	157/8146	0.000281210163198	0.002175678631055	0.00169037688127	7124/3627/91543/9021/3665/3434/4792/355/4599/23586/4940/4939/4600/7098/8717/8837/6773/4790/4938/5610/10379/4609/6041	23
deltaYopT vs mock	hsa05171	Coronavirus disease - COVID-19	30/544	232/8146	0.000343888567612	0.002592390740456	0.002014138169277	3569/3593/1440/1437/3553/7124/3627/4312/629/3592/3576/9636/4792/64135/716/715/4599/5600/23586/4940/4939/4600/115004/7098/6773/4790/4938/5610/10379/2353	30
deltaYopT vs mock	hsa04151	PI3K-Akt signaling pathway	40/544	354/8146	0.000666924009266	0.004901891468104	0.003808487105545	3569/1440/3559/3672/2069/2324/2322/4602/3696/1942/1943/4804/2786/7057/1946/90993/3911/54541/3575/29941/3718/9586/5618/374/5155/3479/3912/3717/8515/3574/4790/5008/10018/4254/598/3082/57121/6446/4609/2335	40
deltaYopT vs mock	hsa05330	Allograft rejection	9/544	38/8146	0.00070047088037	0.00502288875192	0.003902495020289	3593/7124/3592/941/958/3112/355/3134/3111	9
deltaYopT vs mock	hsa04514	Cell adhesion molecules	21/544	149/8146	0.000859703023717	0.006017921166021	0.004675577848287	25945/947/3696/941/84628/6900/958/3897/3112/6614/4756/57555/5792/5817/58494/6385/3383/8506/29126/3134/3111	21
deltaYopT vs mock	hsa04933	AGE-RAGE signaling pathway in diabetic complications	16/544	100/8146	0.000887664233324	0.006069146153426	0.004715376710682	3569/3553/7124/3576/5054/3552/5600/3383/6776/177/3717/7043/4790/2308/1958/2335	16
deltaYopT vs mock	hsa05332	Graft-versus-host disease	9/544	42/8146	0.00150843464456	0.010079086034104	0.007830868848552	3569/3553/7124/941/3552/3112/355/3134/3111	9
deltaYopT vs mock	hsa04218	Cellular senescence	21/544	156/8146	0.001559025524143	0.010185633424398	0.007913650028981	3569/3805/3576/1647/4616/5054/3552/2113/5600/4683/7043/22800/4790/5608/3710/3134/2308/5533/59341/4775/4609	21
deltaYopT vs mock	hsa04210	Apoptosis	19/544	136/8146	0.001657677777608	0.010594723187318	0.008231489193155	7124/7185/1647/8743/5366/4616/4792/330/355/27113/8717/8837/4790/3710/10018/840/598/2353/5783	19
deltaYopT vs mock	hsa05163	Human cytomegalovirus infection	27/544	225/8146	0.002076006431821	0.012986082786282	0.010089437753753	3569/6352/3553/7124/5743/9560/3576/6351/6349/2786/6348/4792/90993/111/9586/355/5600/115004/8717/4790/5608/3710/3134/5533/7852/4775/4609	27
deltaYopT vs mock	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	14/544	89/8146	0.002157207440024	0.013212895570147	0.010265658212395	55509/10538/4792/116071/353376/5600/3717/10125/4790/5608/29126/5533/2353/4775	14
deltaYopT vs mock	hsa04360	Axon guidance	23/544	182/8146	0.002229660154651	0.013377960927903	0.010393904480326	9423/54437/7474/8633/1942/1943/54910/84628/27289/3897/1946/4756/91653/6608/81029/57522/10507/56963/6405/10501/5533/7852/4775	23
deltaYopT vs mock	hsa04936	Alcoholic liver disease	19/544	142/8146	0.002746313334166	0.016148322404894	0.012546315652925	3569/3593/3553/7124/3592/3576/2921/2920/2919/4792/83439/51176/355/5600/8717/4790/5608/2308/929	19
deltaYopT vs mock	hsa05224	Breast cancer	19/544	147/8146	0.004061540831097	0.023284790224309	0.018090939773272	54567/2324/7474/1647/23462/4616/83439/81029/51176/28514/3280/8322/3479/4791/182/675/4851/2353/4609	19
deltaYopT vs mock	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	6/544	24/8146	0.004118398270966	0.023284790224309	0.018090939773272	9953/2135/2131/9957/9956/9394	6
deltaYopT vs mock	hsa05165	Human papillomavirus infection	35/544	331/8146	0.00433491641373	0.02372553930528	0.018433376402598	3672/7124/5743/7474/3696/8638/3659/9636/57801/84667/23462/7057/90993/3911/83439/81029/9586/3280/355/4599/8322/3912/182/8515/4600/7098/8717/6773/4790/3134/2308/4851/5610/10379/2335	35
deltaYopT vs mock	hsa04215	Apoptosis - multiple species	7/544	32/8146	0.004425104113444	0.02372553930528	0.018433376402598	4804/5366/330/27113/10018/840/598	7
deltaYopT vs mock	hsa04217	Necroptosis	20/544	159/8146	0.004438451230579	0.02372553930528	0.018433376402598	3553/81030/7124/6775/8743/7128/3552/353376/330/3718/355/6776/3717/7098/1540/8717/8837/6773/5610/10379	20
deltaYopT vs mock	hsa04672	Intestinal immune network for IgA production	9/544	49/8146	0.004581664808944	0.024053740246958	0.018688369615431	3569/3601/941/3600/958/3112/10673/7852/3111	9
deltaYopT vs mock	hsa04917	Prolactin signaling pathway	11/544	70/8146	0.0062818902439	0.032401328626432	0.025173964596977	3659/8651/9021/8835/5618/5600/6776/3717/4790/3972/2353	11
deltaYopT vs mock	hsa05222	Small cell lung cancer	13/544	92/8146	0.007778062986549	0.039426733069746	0.030632298876244	5743/7185/1647/4616/4792/330/3911/3912/4790/9618/598/4609/2335	13
deltaYopT vs mock	hsa04390	Hippo signaling pathway	19/544	157/8146	0.008265099683299	0.041185411981184	0.03199869101295	10413/7474/84962/5054/330/83439/81029/51176/374/8322/85407/8463/650/27113/7043/286204/60485/3398/4609	19
